Stop: 301729        433 buses per day
Stop: 301764        142 buses per day
Stop: 301724        180 buses per day
Stop: 30003042      392 buses per day
Stop: 30003045      392 buses per day
Stop: 30003044      231 buses per day
Stop: 30003043      392 buses per day
Stop: 30003013      201 buses per day
Stop: 301693        201 buses per day
Stop: 301696        142 buses per day
Stop: 301699        142 buses per day
Stop: 301698        142 buses per day
Stop: 301714        201 buses per day
Stop: 301768        142 buses per day
Stop: 30003015      142 buses per day
Stop: 30003018      142 buses per day
Stop: 30003020      142 buses per day
Stop: 30003038      142 buses per day
Stop: 301708        149 buses per day
Stop: 30003039      149 buses per day
Stop: 30003021      149 buses per day
Stop: 30003019      149 buses per day
Stop: 30003017      149 buses per day
Stop: 301672        149 buses per day
Stop: 301671        149 buses per day
Stop: 301701        149 buses per day
Stop: 301700        149 buses per day
Stop: 301692        149 buses per day
Stop: 301697        149 buses per day
Stop: 301695        165 buses per day
Stop: 30003012      224 buses per day
Stop: 30003011      229 buses per day
Stop: 301578        421 buses per day
Stop: 301573        421 buses per day
Stop: 30003041      421 buses per day
Stop: 301730        421 buses per day
Stop: 301763        204 buses per day
Stop: 30003051      661 buses per day
Stop: 301726        187 buses per day
Stop: 301746         38 buses per day
Stop: 301747         38 buses per day
Stop: 301738         38 buses per day
Stop: 301740         38 buses per day
Stop: 301745         38 buses per day
Stop: 301741         38 buses per day
Stop: 301743         38 buses per day
Stop: 301756         38 buses per day
Stop: 301754         38 buses per day
Stop: 301752         38 buses per day
Stop: 301753         38 buses per day
Stop: 301755         38 buses per day
Stop: 301739         38 buses per day
Stop: 301749         38 buses per day
Stop: 30003001      622 buses per day
Stop: 830004111     386 buses per day
Stop: 8312697       511 buses per day
Stop: 830004014     511 buses per day
Stop: 830004008     345 buses per day
Stop: 8313551       173 buses per day
Stop: 830004113     518 buses per day
Stop: 830004118     518 buses per day
Stop: 830004119     518 buses per day
Stop: 830004121     518 buses per day
Stop: 830004123     518 buses per day
Stop: 830004099     315 buses per day
Stop: 830004096     173 buses per day
Stop: 830004093     173 buses per day
Stop: 8312738       363 buses per day
Stop: 830004436    1325 buses per day
Stop: 840004391    1159 buses per day
Stop: 840003943     327 buses per day
Stop: 840003942     238 buses per day
Stop: 840003935     327 buses per day
Stop: 840003933     327 buses per day
Stop: 840003930     327 buses per day
Stop: 840000580     606 buses per day
Stop: 840000582     606 buses per day
Stop: 840000584    1364 buses per day
Stop: 840000585    1450 buses per day
Stop: 840002053     173 buses per day
Stop: 840002054     173 buses per day
Stop: 840002056     668 buses per day
Stop: 710002057     476 buses per day
Stop: 710002058     476 buses per day
Stop: 710002059     571 buses per day
Stop: 880002060     571 buses per day
Stop: 880002061     571 buses per day
Stop: 710000731     596 buses per day
Stop: 710000729     596 buses per day
Stop: 8812644       872 buses per day
Stop: 8812600       769 buses per day
Stop: 880000941     176 buses per day
Stop: 8812626       864 buses per day
Stop: 880000949     864 buses per day
Stop: 880000760     774 buses per day
Stop: 710000728     247 buses per day
Stop: 880000730     247 buses per day
Stop: 880000732     238 buses per day
Stop: 880002037     670 buses per day
Stop: 880002038     574 buses per day
Stop: 880002039     479 buses per day
Stop: 840002040     479 buses per day
Stop: 840002048     369 buses per day
Stop: 840002047     369 buses per day
Stop: 840002051    1193 buses per day
Stop: 840000676    1850 buses per day
Stop: 840000583     610 buses per day
Stop: 840000581     610 buses per day
Stop: 840003931     331 buses per day
Stop: 840003932     331 buses per day
Stop: 840003934     331 buses per day
Stop: 840003941     241 buses per day
Stop: 840004390    1152 buses per day
Stop: 830004435    1318 buses per day
Stop: 830004437    1318 buses per day
Stop: 8313612       361 buses per day
Stop: 830004092     176 buses per day
Stop: 830004094     176 buses per day
Stop: 830004095     176 buses per day
Stop: 830004098     320 buses per day
Stop: 830004124     523 buses per day
Stop: 830004122     523 buses per day
Stop: 830004120     523 buses per day
Stop: 830004117     523 buses per day
Stop: 830004114     514 buses per day
Stop: 830004112     348 buses per day
Stop: 620003221     307 buses per day
Stop: 620003225     241 buses per day
Stop: 620003226     241 buses per day
Stop: 620003193     229 buses per day
Stop: 620003207     229 buses per day
Stop: 620003204     153 buses per day
Stop: 620003201     229 buses per day
Stop: 620003199     377 buses per day
Stop: 620003197     492 buses per day
Stop: 620003097     815 buses per day
Stop: 620003098     894 buses per day
Stop: 620003099     894 buses per day
Stop: 620003102     617 buses per day
Stop: 620003105     693 buses per day
Stop: 620003106     693 buses per day
Stop: 620003112     517 buses per day
Stop: 620003267     602 buses per day
Stop: 620003268     602 buses per day
Stop: 410003270     441 buses per day
Stop: 4101209       441 buses per day
Stop: 410003280     441 buses per day
Stop: 410003283     523 buses per day
Stop: 410003581     426 buses per day
Stop: 410003580     997 buses per day
Stop: 410003578     997 buses per day
Stop: 410003576     874 buses per day
Stop: 410003573     874 buses per day
Stop: 4114525       591 buses per day
Stop: 410003437     591 buses per day
Stop: 410003396     278 buses per day
Stop: 6413982       519 buses per day
Stop: 110003393     519 buses per day
Stop: 110003391     519 buses per day
Stop: 110003389     519 buses per day
Stop: 110003387     633 buses per day
Stop: 290003359     642 buses per day
Stop: 6415339       642 buses per day
Stop: 640000471     642 buses per day
Stop: 640000469     642 buses per day
Stop: 640000468     783 buses per day
Stop: 6413475       840 buses per day
Stop: 6415347       840 buses per day
Stop: 6415301       840 buses per day
Stop: 6415311       840 buses per day
Stop: 6415281       840 buses per day
Stop: 6413480       875 buses per day
Stop: 640000452     579 buses per day
Stop: 640000506     579 buses per day
Stop: 6415321       579 buses per day
Stop: 6415298       154 buses per day
Stop: 2914587       561 buses per day
Stop: 640000436     454 buses per day
Stop: 640000433     454 buses per day
Stop: 6415317       409 buses per day
Stop: 6413617       409 buses per day
Stop: 640000504    1232 buses per day
Stop: 640000505     588 buses per day
Stop: 640000451     883 buses per day
Stop: 6415292       848 buses per day
Stop: 640000449     848 buses per day
Stop: 6413473       848 buses per day
Stop: 6413476       848 buses per day
Stop: 640000470     647 buses per day
Stop: 6415337       647 buses per day
Stop: 6415338       647 buses per day
Stop: 290003292     647 buses per day
Stop: 110003388     525 buses per day
Stop: 110003390     525 buses per day
Stop: 110003392     525 buses per day
Stop: 410003394     278 buses per day
Stop: 410003395     278 buses per day
Stop: 410003436     589 buses per day
Stop: 410003574     862 buses per day
